"","Title","URL","Description","Backers","Funding.Amount","Funding.Percent","Average.Pledge","Project.Start","Project.End","Time.Remaining"
"13","GAMETASIA CARDS: Play Poker & Chess with 65 Fantasy Cards!","https://www.kickstarter.com/projects/gametasiacards/gametasia-cards-play-poker-and-chess-with-65-fanta/?ref=kicktraq","Deal 65 Gametasia Cards, stack poker chips & position chess pieces for an action-packed match where strategic captures pay big rewards!","25","$530 of $16,000","3% funded","$21",2016-01-01,2016-02-01,"0 days, 23 hours, 57 minutes"
"14","Alienation - an intergalactic card drafting game","https://www.kickstarter.com/projects/219747730/alienation-an-intergalactic-card-drafting-game/?ref=kicktraq","Assume the role of an intergalactic real-estate agent attempting to satisfy various creature clientele!","611","$13,667 of $2,800","488% funded","$22",2016-01-02,2016-02-01,"1 days, 6 hours, 47 minutes"
"15","Guards of Atlantis: Tabletop MOBA","https://www.kickstarter.com/projects/697125425/guards-of-atlantis-tabletop-moba/?ref=kicktraq","The Guards of Atlantis is a competitive, team-based multiplayer battle arena (MOBA) game for 2-6 players set in a steampunk world.","497","$41,812 of $35,000","119% funded","$84",2016-01-14,2016-02-01,"1 days, 13 hours, 34 minutes"
"16","Chicago Shootout","https://www.kickstarter.com/projects/520805263/chicago-shootout/?ref=kicktraq","A swift brutal card game for two players.","109","kr23,592 of kr22,222","106% funded","kr216 DKK",2016-01-01,2016-02-01,"1 days, 14 hours, 57 minutes"
"17","The Adventures of Brave Cat","https://www.kickstarter.com/projects/1822211681/the-adventures-of-brave-cat/?ref=kicktraq","Stalk, fight, lie, and betray your way through an ancient temple in this 4 player board game!","19","$886 of $20,000","4% funded","$47",2016-01-02,2016-02-01,"1 days, 18 hours, 26 minutes"
"18","50 Fantasy RPG Dungeon Gaming Maps","https://www.kickstarter.com/projects/389421612/50-fantasy-rpg-dungeon-gaming-maps/?ref=kicktraq","50 Virtual and Tabletop RPG Maps for  Gaming and Fantasy Adventure! Search for maps no more! Gridded, Ungridded, Hexed, Empty and Full!","90","$2,005 of $100","2005% funded","$22",2016-01-03,2016-02-02,"2 days, 0 hours, 27 minutes"
"19","The C'thu - A Cthulhu Mythos Inspired Relics Faction","https://www.kickstarter.com/projects/torgaming/the-cthu-a-cthulhu-mythos-inspired-relics-faction/?ref=kicktraq","A new race for the Relics tabletop wargame, with inspiration taken from H.P. Lovecraft's Cthulhu Mythos.","98","£7,371 of £4,000","184% funded","£75",2016-01-05,2016-02-02,"2 days, 9 hours, 57 minutes"
"20","The Hollywood Movie Game!","https://www.kickstarter.com/projects/730522467/the-hollywood-movie-game/?ref=kicktraq","The Hollywood Movie Game allows each player to be the Producer, Director, Writer and Agent of a Big Box Office Hollywood Movie!","2","$26 of $2,500","1% funded","$13",2015-12-04,2016-02-02,"2 days, 12 hours, 44 minutes"
"21","Silver Isle Campaign","https://www.kickstarter.com/projects/52024810/silver-isle/?ref=kicktraq","An epic RPG campaign with 14+ modules following a group working for a guild that becomes entangled in a conspiracy spanning kingdoms.","24","$465 of $500","93% funded","$19",2015-12-19,2016-02-02,"2 days, 13 hours, 36 minutes"
"22","Scarred Lands—FRPG setting in both 5e & Pathfinder editions","https://www.kickstarter.com/projects/1861515217/scarred-landsfrpg-setting-in-both-5e-and-pathfinde/?ref=kicktraq","In the hands of the original creators, this 3e FRPG setting of a world torn by war between gods & titans returns for Pathfinder and 5e.","738","$47,422 of $20,000","237% funded","$64",2016-01-05,2016-02-02,"2 days, 16 hours, 57 minutes"
"23","The Selfie Board Game","https://www.kickstarter.com/projects/1030738486/the-selfie-board-game/?ref=kicktraq","The Selfie Board Game is all about describing someone's appearance JUST from the sound of their voice before their selfie is revealed.","13","$561 of $125,000","0% funded","$43",2016-01-06,2016-02-03,"3 days, 6 hours, 10 minutes"
"24","Dice Bazaar - Dice chucking, card trading, family fun","https://www.kickstarter.com/projects/fsosnin/dice-bazaar-dice-chucking-card-trading-family-fun/?ref=kicktraq","Welcome to the Dice Bazaar! Roll dice to buy and trade the best products in the market, block opponents, and score points!","131","$4,655 of $9,000","51% funded","$36",2016-01-04,2016-02-03,"3 days, 8 hours, 58 minutes"
"25","Dragon Keeper - the dungeon","https://www.kickstarter.com/projects/512832899/dragon-keeper-the-dungeon/?ref=kicktraq","Dragon Keeper is a strategic board game combining collective and individual goals.","791","€17,127 of €10,000","171% funded","€22",2016-01-06,2016-02-03,"3 days, 10 hours, 57 minutes"
"26","Heroines in Sensible Shoes - 28mm miniatures for roleplaying","https://www.kickstarter.com/projects/oathsworn/heroines-in-sensible-shoes-28mm-miniatures-for-rol/?ref=kicktraq","Tired of female miniatures in chainmail bikinis? We're making adventurers with realistic clothes and equipment...","750","£24,402 of £1,500","1626% funded","£33",2016-01-25,2016-02-03,"3 days, 11 hours, 57 minutes"
"27","The Sneaker Game - a combination memory + trivia game","https://www.kickstarter.com/projects/1161834782/the-sneaker-game-a-combination-memory-trivia-game/?ref=kicktraq","Do you love sneakers? So do we! \nSo much, we built a game around it.\nIntroducing The Sneaker Game: fun to play, and a real keeper.","49","€10,371 of €45,000","23% funded","€212",2015-12-21,2016-02-04,"3 days, 22 hours, 57 minutes"
