"","Title","URL","Description","Backers","Funding.Amount","Funding.Percent","Average.Pledge","Project.Start","Project.End","Time.Remaining"
"41","Boob Quest (Adult Party Card Game, Drinking Optional)","https://www.kickstarter.com/projects/boobquest/boob-quest-adult-party-card-game-drinking-optional/?ref=kicktraq","The goal is to laugh a lot. Make the funniest pair to win each round by using picture cards with captions and adult-themed content.","2","$56 of $9,000","0% funded","$28",2016-01-26,2016-02-25,"25 days, 7 hours, 57 minutes"
"42","Elections of US America Election: The Card Game","https://www.kickstarter.com/projects/aurochdigitalltd/elections-of-us-america-election-the-card-game/?ref=kicktraq","Take your chosen candidate to the White House via political tricks, wads of campaign cash, intrigue, and backstabbing (WITH VOTES).","389","£9,041 of £21,000","43% funded","£23",2016-01-26,2016-02-25,"25 days, 7 hours, 54 minutes"
"43","Poor Choices the game","https://www.kickstarter.com/projects/576353427/poor-choices-the-game/?ref=kicktraq","A hilarious card game for people who are really good at being bad. Hours of fun, adventure, strategy and sabotage for 3+ players.","155","$8,535 of $8,725","97% funded","$55",2016-01-26,2016-03-03,"32 days, 18 hours, 53 minutes"
"44","Thief's Market","https://www.kickstarter.com/projects/michaelmindes/1797465886/?ref=kicktraq","Thief's Market is an easy to learn, unique dice drafting/stealing game for 3 to 5 players.  Mischievous amounts of fun for only $17.","4758","$83,593 of $20,000","417% funded","$18",2016-01-26,2016-02-13,"12 days, 20 hours, 53 minutes"
"45","Mana War","https://www.kickstarter.com/projects/thepastelsuit/mana-war-0/?ref=kicktraq","The most versatile deck of cards since the poker deck!","33","$1,069 of $2,000","53% funded","$32",2016-01-26,2016-02-29,"29 days, 20 hours, 52 minutes"
"46","Baby Bestiary Volume 2 & Vol. 1 Reprint","https://www.kickstarter.com/projects/metalweavedesigns/baby-bestiary-volume-2-and-vol-1-reprint/?ref=kicktraq","Discover the Adorable in the second volume (and first reprint) of the most adorable monster lorebook ever!","199","$10,250 of $38,000","26% funded","$52",2016-01-26,2016-03-08,"37 days, 18 hours, 52 minutes"
"47","Conspiracy!","https://www.kickstarter.com/projects/1919693711/conspiracy/?ref=kicktraq","Conspiracy! A card game for 2-4 conspiracy theorists. We must expose the TRUTH to the world, before it's too late!","229","$4,769 of $2,012","237% funded","$21",2016-01-26,2016-02-25,"25 days, 18 hours, 53 minutes"
"48","Strife: Shadows & Steam","https://www.kickstarter.com/projects/v3g/strife-shadows-and-steam/?ref=kicktraq","A two-player head-to-head card game of deep strategy, unique abilities and powerful combos, set in vibrant, steampunk setting.","524","$14,098 of $15,000","93% funded","$27",2016-01-26,2016-02-23,"23 days, 19 hours, 52 minutes"
"49","Dreamwell","https://www.kickstarter.com/projects/actionphasegames/dreamwell/?ref=kicktraq","Dreamwell is a game of fantastical whimsy for 2-4 dreamers in 30 minutes featuring the art of Tara McPherson.","841","$40,443 of $30,000","134% funded","$48",2016-01-26,2016-02-25,"25 days, 20 hours, 51 minutes"
"50","Gingerdead House - A Grimm Tower Defense Board Game","https://www.kickstarter.com/projects/660196782/gingerdead-house-a-grimm-tower-defense-board-game/?ref=kicktraq","An Epic Tower Defense table top board game that is set in the world of Grimm's Fairy Tales for 2-4 players. Only $20!","325","$10,549 of $10,000","105% funded","$32",2016-01-26,2016-02-25,"25 days, 20 hours, 51 minutes"
"51","Mahola","https://www.kickstarter.com/projects/1281167547/mahola/?ref=kicktraq","Shaman, Chief, Hunter or Maiden... which of these can perform the greatest of all dances and gain the favor of the Great Spirit?","58","$978 of $2,000","48% funded","$17",2016-01-26,2016-02-28,"27 days, 21 hours, 51 minutes"
